Identificador Unico,Empresa Divulgadora,Custo Propaganda,Data Propaganda
977EC947-2584-A16D-D788-CE8A28CB1C25,Fringilla Foundation,"7618,82",2020-05-27 04:50:52
DDDF2E32-33AA-7356-8A67-B29E98D317C7,Libero Proin Associates,"281,47",2020-12-18 07:32:51
5BE1A24B-6F79-ED2C-9735-B668774D6949,Accumsan Incorporated,"307,50",2019-09-24 09:27:18
EE979253-82E8-ACBA-B8DA-BD8905E9DC28,Sem Elit Inc.,"3669,31",2023-01-15 06:35:18
F10F7ED6-575B-9748-F77B-D5BA4705AB7E,Sem Vitae Inc.,"8339,54",2021-05-11 00:58:44
FB2187EB-D4E1-4222-2CD8-AFAEA56BBA39,Sem Eget Massa Corporation,"2637,31",2022-08-30 16:35:52
8E399537-46CD-4A7F-C5CE-A11BDC7C9242,Nunc Corporation,"8194,41",2022-11-25 19:09:12
37EFADB9-DEB1-4895-E753-78A76FE7CDE3,Pellentesque Eget Ltd,"405,11",2021-03-17 00:51:56
A34BA3A9-421C-2AF0-837A-823B1C6A879C,Etiam Imperdiet Corporation,"4046,55",2023-01-11 17:19:59
9A9AC217-4522-B7D6-BF9B-CEAA27BA3DBD,Mauris Ut Mi Limited,"7499,71",2020-09-12 07:54:36
7C4F27CC-ECCA-97C4-9CDD-836122118A23,Aliquam Eu Institute,"6113,49",2019-11-25 06:10:28
19677FB3-42F4-21CE-8E3C-172D5C5A3E58,Duis Corporation,"5283,42",2020-07-18 08:23:26
7D5681A9-8A82-1BCC-7943-165FAAA7D6B3,Orci LLP,"1241,18",2021-12-22 01:46:27
9337BEBC-D4DD-6353-0E61-525032315FE5,Ac Facilisis Limited,"9695,01",2022-09-01 04:19:21
0DDCCA9E-09C3-D105-21A3-0AA36F8345A6,Amet Industries,"1356,13",2019-07-14 00:05:28
80C8D5E1-1A00-B547-0AC6-C5644D5BE644,Nibh Dolor LLC,"9093,61",2019-10-11 18:00:23
BD4E6C0F-ED3C-1098-103B-A3251815EF6A,Leo Inc.,"5668,35",2022-03-11 23:23:00
4B2BC8A1-2BD2-EDB7-C2A3-21254EFD2322,Non Leo Incorporated,"3998,86",2022-06-18 02:34:39
99ACADA0-BE0E-381C-CDC4-97A7C33E1244,Praesent Luctus Foundation,"3027,02",2021-12-14 07:09:20
C25D9430-EFAB-7C64-210D-CCE4ADB80ACE,Eget Mollis Lectus Foundation,"2516,15",2020-02-11 11:19:19
258E9D4D-B990-2C8D-CFEB-CBBD19442D0D,Lectus Inc.,"8058,54",2019-03-26 01:43:42
7EB17717-3E8C-8C8B-EA35-ACCC3BF77DB9,Penatibus Et LLP,"919,86",2021-03-18 21:28:56
68DDF154-83F2-857D-D44B-A1A862A957B6,Sem Ut Institute,"4041,13",2019-12-19 15:23:01
31839666-D563-A7AD-8804-5C39DDAA6935,Lectus Foundation,"1807,73",2021-05-01 16:19:34
8A872A01-3BE2-B7C8-212D-C447E7BA859E,Et Rutrum Non Industries,"2531,23",2022-04-17 20:45:34
AA4EAC2C-CAB4-9242-BF81-B2D1F189A3DD,Aliquam Fringilla LLP,"4138,00",2022-05-15 20:34:06
E37D088D-7A83-0359-F887-7A1A4657A8C2,Mauris Blandit Associates,"8522,47",2019-09-04 17:26:12
70E2E97A-8AA6-4102-89D4-A966A3577C79,Scelerisque Neque Institute,"5438,92",2019-06-11 13:50:08
46EC3317-4E27-EDF9-E8C5-D259C2542850,Dolor Quisque Institute,"8802,62",2021-12-07 17:58:59
8EE5D91D-A603-0D97-DC75-256EC2B46669,Nibh Vulputate Mauris Corporation,"2882,63",2022-09-13 22:49:35
F3536D43-8F63-86B1-45D5-A4AA47CD25D2,Malesuada Fringilla Industries,"7876,06",2020-04-30 01:44:55
6A2339A9-D636-55FD-AC1B-263D3D143A69,Augue Malesuada PC,"8300,78",2020-10-22 16:56:42
47B58462-62FF-FA94-135E-328DA219D957,Malesuada Augue Ut Ltd,"4169,96",2021-09-26 01:36:07
A7D7D912-5B97-CA9B-ACD0-03B778DB5ED6,In Limited,"3970,56",2022-05-13 03:36:16
5AA96DB5-7ED3-694D-ECD6-D3C125127B97,Dolor LLP,"2057,21",2022-07-05 19:19:17
45259674-CC2A-612E-B59E-E9BAB47C1E25,Nec Cursus A Corp.,"2612,50",2021-03-28 16:35:58
DDB7E283-DFD4-0A91-D0EC-E9C33A1CE5E8,Varius Et Corp.,"8245,36",2021-08-03 06:44:52
2B43D99B-9631-3476-EF06-9C18295CFEBB,Ut Molestie In LLP,"2997,43",2021-11-13 17:27:09
F5193BBE-5BE2-523C-56BE-5E3B35237E6D,At Pretium Aliquet Incorporated,"3001,24",2019-12-26 13:49:56
46E3A739-29A3-5FB3-6CC5-32993318768A,Convallis Erat Limited,"4168,32",2022-04-14 22:29:28
43A83E7C-8A8B-2CB1-B5FE-9C5BBA14EED5,Semper Incorporated,"3782,39",2019-10-17 13:06:27
84558F7C-B89E-A245-863D-B3D322262417,Massa Suspendisse Industries,"766,66",2021-10-16 01:53:45
9F4EC324-93E5-47DB-FD25-41B735CD15B9,Eu Industries,"7833,23",2020-06-30 19:15:33
95375839-1596-74B8-72AA-A5C89C966577,Risus Nulla Limited,"5102,32",2019-10-11 10:31:37
9406B80B-614D-507B-B42B-835D4B6C4564,Eu Lacus Foundation,"8852,33",2021-01-30 23:06:31
C952EDE6-6918-F5AB-A9C4-B9FCF31466B9,Donec Nibh Enim Incorporated,"9180,90",2020-04-20 16:19:32
5CE3C4B2-68D1-EB9B-1B7D-1786957A9C66,Fermentum Risus Institute,"7837,41",2022-07-02 12:12:38
1F163969-A175-BD65-62E4-53A6177198D7,Consequat Nec PC,"3004,99",2020-05-04 09:45:50
BEA724DA-3C91-514B-8776-3B63462E6ED1,Rutrum Eu Foundation,"610,93",2019-06-24 21:41:27
71683C38-42A0-FC52-C88C-BB7CE18E58AD,Parturient Industries,"6585,25",2019-04-27 08:01:42
E534D26B-30AE-C74D-D86F-8A38AA896C19,Donec Nibh Quisque Limited,"5620,88",2021-11-07 05:40:28
89E1FD92-41B1-C29E-86C2-46F6262BE449,Ipsum Suspendisse Sagittis Associates,"1729,76",2022-11-05 02:23:15
279394A6-3441-CBA1-AC01-A4DE40C1D306,Magnis Dis PC,"2011,17",2021-03-28 02:35:47
8AC2BBC8-B1E2-8261-3614-9C253C2A7B22,Rhoncus Id Mollis PC,"2778,23",2021-05-09 20:16:43
56A45CC3-1DAF-A634-8660-35B31E65E33E,Ac Mi Eleifend Institute,"5207,91",2020-12-03 08:57:12
7487CBD8-8E5D-EFBB-3516-147466361271,Ullamcorper Nisl LLC,"2426,88",2022-02-13 00:41:28
4919DDB9-3BAB-6D2C-E366-409E25BCF6EB,Aliquam Ltd,"2054,07",2019-10-11 03:15:58
AA9D6584-2186-93EB-35CA-3429630DB388,Vel Faucibus Id Incorporated,"441,42",2022-01-05 18:21:57
193726BF-BAA4-B3D8-5AFA-467B87A4B2B4,Sit Amet Associates,"3374,89",2022-03-10 06:37:28
F7E1361C-13E2-93A7-8852-3D2F27194542,Cum Sociis Natoque Corporation,"7724,74",2020-08-15 19:18:23
B2462EA9-383D-6394-938A-44121B21185E,Ante Institute,"5116,65",2019-09-03 09:33:15
5ADE8352-28B6-F3CC-73D9-28D549FEDE33,Sed Dolor Foundation,"5908,57",2020-10-21 04:52:27
78723806-54FF-D9E2-3DC0-A178455392D8,Et LLC,"3295,40",2022-01-13 17:55:35
A77E9F66-6781-F255-FA81-79E4BD63E5CD,Gravida Molestie Limited,"1378,54",2021-08-31 04:47:01
473CB1B2-CB39-BAAB-4EED-8D4745CE6699,Penatibus Et Magnis Company,"5747,51",2022-03-24 20:20:51
9DBBB2EA-AA78-7CAC-456C-567C491229B2,Convallis Est LLC,"552,86",2019-05-17 16:35:42
CF6324DC-CBE9-E593-E63B-0559D586C155,Integer Incorporated,"5835,29",2020-02-21 03:18:59
94248E1A-836E-2689-E93F-BC65F31635C7,Ipsum Donec Sollicitudin Industries,"6269,43",2021-09-21 07:50:28
DC578973-B962-51A9-778E-76C3CE156D9E,Hendrerit Consectetuer Cursus Ltd,"764,31",2019-04-08 07:57:27
57E91126-8542-D3E6-7862-4096BD52ACD1,Iaculis Nec Eleifend PC,"1968,94",2022-07-18 13:02:36
36AB3710-BA5B-A50E-B99B-422259A2FAFD,Arcu Ltd,"1854,47",2020-08-10 13:42:26
985A385D-23EE-841C-49E3-034BABA1AAC9,Nostra Per Limited,"4448,49",2021-04-21 20:19:04
281E2FEC-B111-A2C1-ACED-5CACC490961F,Proin Dolor Nulla LLP,"4971,08",2019-06-09 06:09:38
CD4107DA-B0C2-8453-B7EA-459E8C46D80F,Faucibus Lectus A LLP,"542,62",2022-01-04 14:09:14
CE8DBD4E-5473-1BE2-EC16-575348144B5E,Et Libero Corporation,"1621,53",2019-07-11 17:01:40
E68415AC-137E-899A-BB4A-D2C80D58F054,Velit In Incorporated,"2758,29",2022-09-04 23:39:08
4E4093E9-C151-98C8-5B19-9A0DC1D24AC9,Dolor Quisque Tincidunt Inc.,"5441,80",2020-12-10 11:33:24
B7187ABE-D3EB-3F11-5E0D-B2EC08D33431,Eleifend Industries,"9009,37",2020-04-09 00:40:29
7D7D3BD3-5283-D94B-D5F5-C40A6626B592,Pellentesque Habitant Institute,"1461,94",2019-08-10 08:11:48
21DB73B5-1C81-C44F-9B04-611D706ADB53,Ad Inc.,"1830,15",2020-03-29 12:45:02
A695838C-1A3B-823E-2F33-22BBD989C40B,Ut Dolor Limited,"254,96",2019-10-24 02:12:02
9A957D5E-1B90-EC2D-95E3-4A812D49BD67,Lorem Corporation,"4808,49",2022-10-31 02:59:15
99A8842E-34C5-DDD7-9E26-DDBDDA9025DA,Nonummy Ipsum Corporation,"1188,05",2022-12-20 18:02:52
EA43AD51-67D8-8E41-4B97-9677E80EF5F7,Ornare Corporation,"4504,41",2020-04-19 18:02:58
16AE0952-0657-6149-D6D7-C6BEBE30BC5A,Eleifend Cras LLP,"6707,17",2020-10-23 19:46:01
94969DCD-2751-9B18-BDBA-672D6546B769,Aenean Incorporated,"4751,87",2022-06-29 10:55:43
5C7E6958-CED8-53E8-69C4-140EB5B62892,Augue Eu Associates,"9198,01",2019-05-30 06:54:23
47EFE423-A7B2-A5D2-B6A0-77BF4193A6A6,Vestibulum Ut PC,"4909,29",2019-09-01 02:23:35
97B4E9C2-324C-953B-CF3B-C3377992C553,Elementum Corp.,"9265,54",2022-08-28 09:13:59
3BB64986-B7A6-AE6C-617E-DB4C66DA47B0,Ante Maecenas Mi LLC,"2293,67",2019-11-16 18:03:35
BC323B98-43CE-6A5A-C9FA-91FF8AB77767,Et Magnis Corp.,"2187,79",2019-06-07 21:00:35
E4434F2B-7D55-624F-2EAF-786A1CA687D7,Tellus Non Magna Inc.,"268,07",2020-09-02 05:12:59
8C554C1C-B65A-6D6C-0B85-6AEE7459BD16,Egestas Aliquam Nec PC,"5686,65",2020-05-14 20:41:14
1A1F2A2B-A91A-399C-ABE3-3A7AE39C01A6,Phasellus Nulla Corp.,"9762,38",2020-12-22 07:59:26
EEA8541A-9D25-C607-257D-C711B82E8C9F,Elit Corp.,"5887,00",2021-10-15 04:11:54
3B433E9A-87E4-4736-1D0E-248CA22ADB8F,Egestas Corp.,"7781,25",2021-02-10 10:02:39
A4EF81E9-8AE9-4A02-0111-6DB364E5749A,In Corp.,"6767,64",2021-02-10 15:38:37
73120E15-6CAB-7888-4F24-66265D778BA4,Non Inc.,"870,45",2022-07-10 13:45:33
998CE366-9FB9-F696-045E-278DB626C412,Est Ac Corp.,"9316,52",2020-01-15 01:14:59
734DCA83-CE25-9047-2042-5983EC957968,Dictum Ltd,"3855,96",2022-03-21 11:49:38
A657142E-ACC3-67F1-891D-834D8EB2E12F,Nec Euismod In Company,"2074,53",2019-09-03 10:27:12
4A81BA30-13F3-47A8-0E6A-6BD9813428A3,Non Nisi Aenean Inc.,"9721,50",2022-11-25 07:57:04
22863AB4-C014-0155-1DEE-AE1F8BDE0A26,Vitae Aliquet Institute,"164,22",2022-07-28 18:06:35
EC69B82D-48A3-2A4D-9248-EB8B1524C6BD,Aliquam Erat Volutpat LLP,"7483,59",2019-10-30 18:58:01
6C4C37B6-C725-277A-EF39-72A66842D4C8,Id Institute,"6824,64",2020-03-08 03:48:07
D4172652-F73C-2BC7-588B-72D73B6EA124,Fusce Fermentum Institute,"213,70",2019-10-03 05:51:06
7275D111-D591-EA9C-F179-5A845AD33ACF,Nulla Integer Vulputate Institute,"1781,15",2022-10-07 09:00:48
1E334DFA-A042-B9A1-CBD3-1B5196FC6D0D,Nonummy Fusce LLP,"5893,36",2021-04-24 18:21:31
37670A69-6CE2-8D2A-A356-71279D5D8BEE,Egestas Associates,"1037,04",2022-09-22 07:09:45
1B338356-B398-37D7-46E9-89D3980EB396,Sed Pede Cum Ltd,"6153,02",2020-07-20 23:15:02
9196216E-6455-D66A-B9D4-88374A21D9F6,Amet Associates,"533,27",2020-04-01 01:08:44
3DB1A338-BE56-5C0D-03D6-0535EE3A1E28,Eu Foundation,"1787,79",2020-01-18 15:06:02
BB91F324-4417-33A0-6633-22DAD215AA95,Laoreet Libero Et Corp.,"1600,85",2020-03-07 21:42:24
559C59F9-A6AB-FE51-1799-A7D9CECAF346,Purus Mauris Ltd,"7134,46",2022-12-23 16:28:46
DB7D1FDA-E037-88D5-6C8D-EC42FDB23AC6,In Consequat Enim Corp.,"7192,26",2019-11-30 18:21:23
73AEDD82-EABB-B7CE-D745-182BC57E6EE2,Adipiscing Mauris PC,"5112,67",2022-11-16 03:28:03
8E7D524B-B974-81B3-AA8E-5C302B85DD4C,Augue Porttitor Inc.,"3360,49",2022-06-11 10:59:01
2B07A364-B02E-EE89-BB31-89C9DD5E36C7,Vitae Nibh Donec Inc.,"6739,60",2021-07-07 20:41:07
9013BD96-97E9-EA39-1694-7661BC127314,Ullamcorper Duis Cursus Foundation,"9920,75",2020-05-25 19:03:54
4AE16C41-0785-174B-852A-242CACAD600C,Non Hendrerit Limited,"5961,57",2019-06-11 08:06:55
84D75846-9855-0944-2CEE-97C54414466F,Hendrerit Consectetuer Incorporated,"5811,87",2019-07-14 12:54:18
9FEDDC23-3A16-A19C-AAA2-415B8BC7FC34,Erat PC,"8441,22",2020-10-24 18:00:29
3ED4A831-D74B-712B-1DA4-3F5F582BD938,Vitae Institute,"8392,38",2019-09-23 19:44:27
754CDF77-6D4F-8619-8B99-DA94A15A3EB3,Luctus Ipsum Associates,"2612,31",2020-10-28 03:54:36
17EFDEC9-81AA-64B1-6191-441C853EA938,Orci Donec Ltd,"7824,57",2022-08-16 14:14:25
D42CD765-4416-B768-B3A5-1BBE3C58D177,Facilisis Lorem Tristique Inc.,"601,39",2022-10-29 08:47:18
E8E4536F-0813-15BC-2C1D-A99AE178B435,Pharetra Corp.,"5097,42",2022-12-29 21:40:12
B7B17585-E3BB-8639-C7FE-7F68F827AB5B,Duis Volutpat Nunc LLC,"894,85",2020-06-22 17:16:54
0B4D7EDD-D59B-32DC-1995-C84932523C11,Bibendum Ullamcorper Foundation,"5901,96",2021-02-02 05:28:14
D4582FA2-A6F1-943F-DD59-ACB714E1EC7E,Nunc Est Mollis Industries,"528,07",2022-08-15 00:23:20
34323048-FF82-6146-C5B4-4CE2F9D088EA,Neque Sed Corporation,"412,98",2022-09-30 13:06:48
97E452BF-8790-7D82-619D-54B0E1BBD517,Gravida Aliquam Tincidunt LLC,"2318,38",2019-11-20 18:07:49
80438336-5E50-8922-09AD-DA7B83A182C6,Et Arcu Imperdiet Limited,"851,61",2019-04-22 08:50:10
121AA9F3-B858-C426-C229-C1FDCE825386,Convallis Est Vitae Corp.,"431,44",2021-02-04 18:57:54
15B99552-23E8-E1A7-C44A-9797BDC21842,Est LLP,"7409,23",2019-09-19 08:28:29
3F8E71B1-FB92-BAA7-7653-FE48224D3BD7,Rhoncus Id Inc.,"7046,73",2020-04-05 07:58:18
8AC5823F-41AB-AA72-CA1E-58A6785E8511,Arcu Iaculis Corp.,"8309,48",2021-03-03 04:14:14
F241C373-797C-B490-73A6-E1A5BBD0A8DC,Nulla Associates,"224,27",2021-02-08 13:21:52
AAC06423-68AC-9E88-9306-5EB4EA91E1C4,In Associates,"5263,93",2020-12-27 22:59:35
288CB31D-9B45-C4C2-98A8-671EA81AD561,Taciti Sociosqu Ad Corp.,"3626,54",2022-09-04 04:49:12
70CD0B31-E6C9-EDC3-BFAA-3497532385E7,Vulputate Velit Corp.,"946,07",2019-12-21 07:33:47
1738DBC2-D438-9980-33B6-B42275C4DC49,Nunc Laoreet Foundation,"6277,81",2019-08-21 18:47:39
569404A4-6759-B168-B942-5B88C86DB76A,Metus Corporation,"6762,81",2020-04-17 06:37:03
473F419C-7563-7A73-13FD-6CACCE19A6EF,Nulla Tincidunt Corporation,"9444,88",2020-06-26 20:33:49
55783235-21B5-4AD1-B74B-96101184211A,Dolor Quisque Incorporated,"9612,60",2022-09-04 07:02:05
74D48EAE-3449-63BD-492D-71E189C12B87,Pede Et Industries,"396,57",2021-06-29 16:22:32
26FBDFE3-91CB-EE2C-1D39-12BEBE953531,Litora Torquent Per PC,"702,04",2022-03-22 20:50:48
B9B08AD8-CEEA-D76F-1645-C50A4C286EF9,Justo Eu Inc.,"4641,71",2021-08-18 22:16:18
3D86E89C-458E-4DDB-DB52-10D2C90BFA2B,Sapien Molestie Corp.,"8751,32",2021-11-27 00:34:59
9DE4AD8F-DC72-7724-6343-BD63CF1736A6,Iaculis Aliquet Corp.,"497,93",2020-04-26 09:32:30
8E8D572F-4554-5068-10B2-2D8FED107728,Ligula Donec LLC,"6005,69",2021-02-04 03:14:35
D1A33BED-FEA8-E0BF-E2F2-3393E2C080C1,Cras Eget Nisi Corporation,"5546,54",2019-12-07 07:55:13
4BD807A5-ED62-FC08-FA39-EB3A7A08E3D2,Purus Nullam Inc.,"7582,50",2021-08-16 19:24:41
EA8CCBBE-F8FF-7CF3-D198-647DE95D3B1B,Sed Libero Limited,"9239,68",2021-08-12 17:57:12
16ECADB4-BD62-4C4A-6641-98839C791813,Justo Nec PC,"7404,18",2019-11-08 14:46:09
F55993D7-AF44-01FD-1834-3395E8BD8B96,Aliquet Diam LLC,"3512,83",2021-05-31 21:42:15
49351A07-EC4E-5389-D5F8-F19B14A23DBC,Erat Foundation,"3395,77",2021-07-12 01:30:50
74A2969C-BB34-5C38-E8A7-3611A32AF2FB,Lorem Ipsum Company,"9804,93",2022-11-13 21:20:52
6F408245-96ED-C2D5-0B2E-1565B364D548,Duis Associates,"9964,72",2020-05-20 07:43:55
3697EF6A-DE63-27E9-C6EA-96C7840A6F12,Sodales Purus In Associates,"6177,16",2021-09-09 17:27:52
6A6140BC-2248-1D36-F4AB-A908C11B858E,Aliquet Limited,"3339,99",2020-10-28 11:11:17
5CCB4DDD-B768-9881-63D1-9CE8732FEEF1,Vivamus Molestie Corp.,"6076,28",2022-12-31 15:09:18
D26AAEC4-39A4-CC95-9E4C-DF593CC67756,Aliquet Libero Industries,"7612,33",2019-05-10 10:13:52
22B63B48-DEC1-2C2C-22AF-C2651D05DD27,Velit Consulting,"9632,48",2021-03-20 16:45:38
655B72D8-47A6-92BC-ACAB-87357EADBCE2,Nulla PC,"1260,17",2021-05-16 07:07:24
BBC5A9BE-CB3D-C8B1-8CE1-E7912A3339C6,Felis Purus Corp.,"5926,20",2022-01-26 08:09:29
855EA38B-E857-BA35-4848-4B5F8666CA42,Sodales Purus In Foundation,"5474,22",2021-09-11 09:01:43
8CAE01B1-75D5-6AC0-6CB4-3C2AE8379EB6,Nullam Scelerisque Associates,"3523,93",2019-03-08 03:36:48
514D3DAE-572D-451A-1EE1-6D6B76DAA5CE,A Odio Semper PC,"5495,86",2020-12-31 10:31:21
D4EEE8E1-6C79-184E-77E0-A6A281ABEC53,Ut Sagittis PC,"5497,95",2020-04-06 13:51:26
FB8D85EC-135F-4E22-59EE-92D3BFB891E4,Auctor Velit PC,"152,88",2023-01-08 03:10:10
87B25F0A-6922-6DC6-B049-E013C3F0B1B4,Et Ultrices Corporation,"7705,75",2020-10-30 14:52:42
87765ED2-1BB8-D533-5BD7-6674418E325C,Elit Institute,"9851,19",2019-09-07 18:06:15
CE422699-52FB-DEB4-4942-C7D9AB54E194,Rutrum Justo Institute,"1950,75",2021-01-12 10:12:49
B59192B5-48A3-03AC-A9E7-065999DFE279,Scelerisque Sed LLC,"6171,09",2021-09-13 02:11:36
8DCC13DB-52B3-5DBF-8A47-C2E1C36A8225,Gravida Sagittis Foundation,"9209,24",2020-06-01 09:37:12
CE3A2335-9DBB-06DC-E526-CE87EA5C8B07,Sapien Molestie Orci Associates,"1155,15",2019-08-13 18:58:21
9EEE62BE-2F9E-3503-2D02-6EF8134919D2,Amet Ornare Lectus Industries,"1545,95",2021-03-07 01:50:40
192A9C2B-FF65-3787-FA69-3A98965513C3,Non Industries,"2201,55",2022-04-17 00:03:35
D4862998-52D8-400E-B56C-EFC622798DB7,Sagittis Placerat Ltd,"1845,25",2021-03-09 12:18:51
552B298A-4570-12E2-4447-1649376E52CF,Id LLC,"4489,74",2022-02-02 19:33:52
45FCD8E7-B6E7-E3C2-FB39-2CA7E694B985,Vulputate Ullamcorper LLC,"7110,42",2021-03-24 15:15:48
E746E4C2-9117-B152-3A83-2244B64693AC,Odio Aliquam Vulputate Institute,"9416,21",2019-04-04 04:08:36
415A97D7-1BFC-BCE0-7546-0244A5CAAD4F,Aenean Massa Foundation,"1378,07",2020-06-16 20:10:18
D83B559C-18BD-991B-EE89-B198D6113517,Vel Arcu Eu LLC,"1068,24",2020-04-23 16:03:46
399A03C0-2B9D-7162-4AD9-2274FDD47756,Ut Inc.,"2699,84",2020-11-25 06:47:13
3FEED298-95D3-89D7-4B77-5B143E1E4DC4,Augue Eu Institute,"383,39",2021-08-08 16:27:19
49A4725B-D72C-C6E5-5F69-29C69DC52882,At Lacus Corp.,"3503,18",2019-09-13 18:47:15
128F23B1-F371-D445-2D4E-ABA1940BD551,Velit In Industries,"2573,98",2020-12-01 18:57:12
1590D8EF-756E-479D-C96C-B2B0CC2574C3,Aliquam Arcu Limited,"2214,07",2022-11-05 23:58:11
4BC89EE2-949A-3CBA-0492-6125C926744C,Donec LLP,"9535,70",2019-04-27 05:37:56
517BD91B-322A-ABAE-6AC3-904D8C667D62,Quam Industries,"4645,92",2021-02-13 02:17:14
188BB32D-59CD-D356-9639-3BCEA009A0A9,In Faucibus Corp.,"3037,76",2019-12-22 05:40:50
D7674773-4AE1-8D9E-932D-05E3AD97D45E,Ut Semper Pretium Consulting,"1092,37",2021-05-01 23:25:54
253D63FA-EEE4-2BB9-815F-2664B91169BC,Urna Suscipit Industries,"9428,04",2022-01-04 21:37:43
22E221BB-A87C-3E82-1D0C-B79E4356E08E,Vivamus Nibh Incorporated,"1931,56",2019-04-18 07:12:01
D85870F8-4065-6D30-5E1C-66E9B213A23B,Tincidunt Dui Ltd,"354,95",2019-09-16 21:38:40
CD2C627B-22B8-1B25-7EEE-78C2EB77B9D8,Malesuada Vel Venenatis Corporation,"7224,42",2020-08-09 09:00:01
76DE7D28-C444-BB6D-6918-CC8E456A64D8,Consectetuer Rhoncus Industries,"8409,63",2022-04-29 07:31:32
EA176C98-83CA-A81A-BAE1-4D64DEFAABD2,Ut Tincidunt Vehicula Associates,"8212,96",2021-06-21 15:45:10
77FD1DD2-E512-C9CE-064E-4DA9F10FEAE3,Lorem Vehicula Et Industries,"5843,09",2021-04-25 12:08:06
D7A85EC9-128E-C11D-8DAE-514AD9209C0A,Nulla Interdum Corp.,"5560,02",2019-08-07 06:05:51
967C23A8-CA8A-61B8-D2F8-E72A9982F923,Eu Consulting,"4362,35",2022-08-29 20:28:16
FD37E9E9-95EF-6A52-0277-7FB9C2F2E3A3,Orci Donec Associates,"4677,96",2022-05-21 21:11:20
DADBAF7C-DF96-8D53-1638-D977E2DA1D09,Non Egestas LLC,"8354,08",2021-10-02 02:10:03
978C8921-FDE2-9AE0-5189-3C6C782866E7,Ligula Limited,"5512,60",2021-01-09 00:23:09
BD13F87B-A8D7-B183-FBCB-728CF8CB72CD,Porttitor Interdum Consulting,"7445,40",2021-09-22 06:52:28
C285D9B1-7846-FEFC-61D9-2589A538D831,Lacus Aliquam Incorporated,"9134,76",2022-08-04 09:56:19
6F304CCC-3563-5ED7-29BC-22A4AA8D16E3,Vitae Nibh Corporation,"5680,34",2020-03-29 06:17:27
E8BE7B3C-2C29-FAB1-8B5E-49D16CD5327A,Morbi Tristique LLP,"4280,19",2021-07-08 12:51:39
8BDECC59-8901-8260-18EE-76BDF09752D2,Feugiat Non Inc.,"2517,34",2019-09-11 10:13:39
359DBBBD-F752-C7BE-934C-4455B63A651F,Et Ultrices PC,"9877,95",2020-11-02 10:17:53
7D2BB4A5-1D17-4109-E970-1B20D6544D7D,Metus In LLP,"335,32",2019-12-08 14:03:32
5B89B948-E16C-1B37-C76B-66BADB2BD4DB,Imperdiet LLP,"1807,07",2020-12-01 02:05:54
15ADEA95-1F8E-5A7F-76A3-9BBCF2082B84,Mauris Magna Consulting,"8711,16",2023-01-10 00:43:40
EE893826-ABEF-66DD-495B-CED365A62F68,Integer In PC,"2387,07",2022-06-23 03:54:18
B5E8D09A-AE48-089F-D5E6-59FDCC4BBA0D,Risus Donec Company,"4580,92",2020-05-20 00:41:47
